id,artist,uri
230,"Heckendorf, Franz",http://dbpedia.org/resource/Franz_Heckendorf
231,"Heckrott, Wilhelm",http://dbpedia.org/resource/Wilhelm_Heckrott
232,"Heemskerck, Jacoba van",http://dbpedia.org/resource/Jacoba_van_Heemskerck
233,"Hegenbarth, Josef",http://dbpedia.org/resource/Josef_Hegenbarth
234,"Heidingsfeld, Fritz",http://dbpedia.org/resource/Fritz_Heidingsfeld
235,"Hein, Gerhart Wilhelm August",http://dbpedia.org/resource/Gerhart_Wilhelm_August_Hein
236,"Heinisch, Rudolf W.",http://dbpedia.org/resource/Rudolf_W._Heinisch
237,"Helbig, Walter",http://dbpedia.org/resource/Walter_Helbig
238,"Hempel, Willy",http://dbpedia.org/resource/Willy_Hempel
239,"Hennig, Artur",http://dbpedia.org/resource/Artur_Hennig
240,"Herbig, Otto",http://dbpedia.org/resource/Otto_Herbig
241,"Hergarden, Bernhard",http://dbpedia.org/resource/Bernhard_Hergarden
242,"Herrmann, Curt",http://dbpedia.org/resource/Curt_Herrmann
243,"Herrmann, Johann Karl",http://dbpedia.org/resource/Johann_Karl_Herrmann
244,"Herthel, Ludwig",http://dbpedia.org/resource/Ludwig_Herthel
245,"Herzog, Oswald",http://dbpedia.org/resource/Oswald_Herzog
246,"Hess, Emmy",http://dbpedia.org/resource/Emmy_Hess
247,"Hestrich, Paul",http://dbpedia.org/resource/Paul_Hestrich
248,"Hettner, Otto",http://dbpedia.org/resource/Otto_Hettner
249,"Hetzeld, Fritz",http://dbpedia.org/resource/Fritz_Hetzeld
250,"Heubner, Friedrich",http://dbpedia.org/resource/Friedrich_Heubner
251,"Heuser, Heinrich",http://dbpedia.org/resource/Heinrich_Heuser
252,"Heuser, Werner",http://dbpedia.org/resource/Werner_Heuser
253,"Hilker, Reinhard",http://dbpedia.org/resource/Reinhard_Hilker
254,"Hinze, U.",http://dbpedia.org/resource/U._Hinze
255,"Hirschfeld-Mack, Ludwig",http://dbpedia.org/resource/Ludwig_Hirschfeld-Mack
256,"Hodler, Ferdinand",http://dbpedia.org/resource/Ferdinand_Hodler
257,"Hoehloff, Curt",http://dbpedia.org/resource/Curt_Hoehloff
258,"Hoelzel, Adolf",http://dbpedia.org/resource/Adolf_Hoelzel
259,"Hoerle, Heinrich",http://dbpedia.org/resource/Heinrich_Hoerle
260,"Hoetger, Bernhard",http://dbpedia.org/resource/Bernhard_Hoetger
261,"Hofer, Karl",http://dbpedia.org/resource/Karl_Hofer
262,"Hoff, Heinz von den",http://dbpedia.org/resource/Heinz_von_den_Hoff
263,"Hoffmann, Eugen",http://dbpedia.org/resource/Eugen_Hoffmann
264,"Hofmann, Ludwig von",http://dbpedia.org/resource/Ludwig_von_Hofmann
265,"Hofmann, Otto",http://dbpedia.org/resource/Otto_Hofmann
266,"Hofmann, Vlastislav",http://dbpedia.org/resource/Vlastislav_Hofmann
267,"Hohlt, Otto",http://dbpedia.org/resource/Otto_Hohlt
268,"Holz, Paul",http://dbpedia.org/resource/Paul_Holz
269,"Holzmann, Helene",http://dbpedia.org/resource/Helene_Holzmann
270,"Hompel, Ludwig ten",http://dbpedia.org/resource/Ludwig_ten_Hompel
271,"Horn, Joseph",http://dbpedia.org/resource/Joseph_Horn
272,"Höst, Oluf",http://dbpedia.org/resource/Oluf_H%C3%B6st
273,"Huber, Hermann",http://dbpedia.org/resource/Hermann_Huber
274,"Huf, Fritz",http://dbpedia.org/resource/Fritz_Huf
275,"Hügin, Karl Otto",http://dbpedia.org/resource/Karl_Otto_H%C3%BCgin
276,"Hülsmann, Fritz",http://dbpedia.org/resource/Fritz_H%C3%BClsmann
277,"Hundt, Jean Baptist Hermann",http://dbpedia.org/resource/Jean_Baptist_Hermann_Hundt
278,"Huth, Willy Robert",http://dbpedia.org/resource/Willy_Robert_Huth
279,"Hüther, Julius",http://dbpedia.org/resource/Julius_H%C3%BCther
280,"Isselmann, Ernst",http://dbpedia.org/resource/Ernst_Isselmann
281,"Itten, Johannes",http://dbpedia.org/resource/Johannes_Itten
282,"Jacob, Walter",http://dbpedia.org/resource/Walter_Jacob
283,"Jacobi, Rudolf",http://dbpedia.org/resource/Rudolf_Jacobi
284,"Jaeckel, Willy",http://dbpedia.org/resource/Willy_Jaeckel
285,"Jansen, Franz Maria",http://dbpedia.org/resource/Franz_Maria_Jansen
286,"Janthur, Richard",http://dbpedia.org/resource/Richard_Janthur
287,"Jawlensky, Alexej von",http://dbpedia.org/resource/Alexej_von_Jawlensky
288,"Jerusalem, F",http://dbpedia.org/resource/F_Jerusalem
289,"Johannsen, Peter-Wilhelm",http://dbpedia.org/resource/Peter-Wilhelm_Johannsen
290,"Johanson, Eric",http://dbpedia.org/resource/Eric_Johanson
291,"Johnsen, Steen Soerensen",http://dbpedia.org/resource/Steen_Soerensen_Johnsen
292,"Kahler, Eugen von",http://dbpedia.org/resource/Eugen_von_Kahler
293,"Kallmann, Hans Jürgen",http://dbpedia.org/resource/Hans_J%C3%BCrgen_Kallmann
294,"Kandinsky, Wassily",http://dbpedia.org/resource/Wassily_Kandinsky
295,"Kanoldt, Alexander",http://dbpedia.org/resource/Alexander_Kanoldt
296,"Kars, Georges",http://dbpedia.org/resource/Georges_Kars
297,"Karsch, Joachim",http://dbpedia.org/resource/Joachim_Karsch
298,"Katz, Hanns",http://dbpedia.org/resource/Hanns_Katz
299,"Kaufmann, Ignaz (Arthur?)",http://dbpedia.org/resource/Ignaz_%28Arthur%3F%29_Kaufmann
300,"Kaul, August",http://dbpedia.org/resource/August_Kaul
301,"Kaus, Max",http://dbpedia.org/resource/Max_Kaus
302,"Keller, Gerhard",http://dbpedia.org/resource/Gerhard_Keller
303,"Keller, Laurent Friedrich",http://dbpedia.org/resource/Laurent_Friedrich_Keller
304,"Kerkovius, Ida",http://dbpedia.org/resource/Ida_Kerkovius
305,"Kerschbaumer, Anton",http://dbpedia.org/resource/Anton_Kerschbaumer
306,"Kerschkamp, Eugen",http://dbpedia.org/resource/Eugen_Kerschkamp
307,"Kessler, Adolf",http://dbpedia.org/resource/Adolf_Kessler
308,"Kirchner, Ernst Ludwig",http://dbpedia.org/resource/Ernst_Ludwig_Kirchner
309,"Kirchner, Heinrich",http://dbpedia.org/resource/Heinrich_Kirchner
310,"Kiwitz, Willy",http://dbpedia.org/resource/Willy_Kiwitz
311,"Klee, Paul",http://dbpedia.org/resource/Paul_Klee
312,"Klein, Cesar",http://dbpedia.org/resource/Cesar_Klein
313,"Kleinert, Gertrud",http://dbpedia.org/resource/Gertrud_Kleinert
314,"Kleinschmidt, Paul",http://dbpedia.org/resource/Paul_Kleinschmidt
315,"Klemm, Walther",http://dbpedia.org/resource/Walther_Klemm
316,"Klimt, Gustav",http://dbpedia.org/resource/Gustav_Klimt
317,"Klinger, Julius",http://dbpedia.org/resource/Julius_Klinger
318,"Klose-Greger, Hanna",http://dbpedia.org/resource/Hanna_Klose-Greger
319,"Klossowski, Erich",http://dbpedia.org/resource/Erich_Klossowski
320,"Kluth, Karl",http://dbpedia.org/resource/Karl_Kluth
321,"Knappe, Karl",http://dbpedia.org/resource/Karl_Knappe
322,"Koepke, Robert",http://dbpedia.org/resource/Robert_Koepke
323,"Kogan, Moissey",http://dbpedia.org/resource/Moissey_Kogan
324,"Kohlhoff, Wilhelm",http://dbpedia.org/resource/Wilhelm_Kohlhoff
325,"Kohlschein, Hans",http://dbpedia.org/resource/Hans_Kohlschein
326,"Kokoschka, Oskar",http://dbpedia.org/resource/Oskar_Kokoschka
327,"Kolbe, Georg",http://dbpedia.org/resource/Georg_Kolbe
328,"Kolle, Helmut",http://dbpedia.org/resource/Helmut_Kolle
329,"Kollwitz, Käthe",http://dbpedia.org/resource/K%C3%A4the_Kollwitz
330,"König, Leo von",http://dbpedia.org/resource/Leo_von_K%C3%B6nig
331,"Kost, Julius",http://dbpedia.org/resource/Julius_Kost
332,!Köster = Otto Coester?,nA
333,"Kowalski, Ludwig Peter",http://dbpedia.org/resource/Ludwig_Peter_Kowalski
334,"Krauskopf, Bruno",http://dbpedia.org/resource/Bruno_Krauskopf
335,"Kreidt, Hermann",http://dbpedia.org/resource/Hermann_Kreidt
336,"Kretzschmar, Bernhard",http://dbpedia.org/resource/Bernhard_Kretzschmar
337,"Kronenberg, Fritz",http://dbpedia.org/resource/Fritz_Kronenberg
338,"Krüger, Paul",http://dbpedia.org/resource/Paul_Kr%C3%BCger
339,"Kruse, Hedwig",http://dbpedia.org/resource/Hedwig_Kruse
340,"Kubin, Alfred",http://dbpedia.org/resource/Alfred_Kubin
341,"Kuhmichel, Hermann",http://dbpedia.org/resource/Hermann_Kuhmichel
342,"Kuhn, Alfred",http://dbpedia.org/resource/Alfred_Kuhn
343,"Kuhn, Erich",http://dbpedia.org/resource/Erich_Kuhn
344,"Kuisl, Josef",http://dbpedia.org/resource/Josef_Kuisl
345,!Kunowski,nA
346,"Kunstreich, Siegfried",http://dbpedia.org/resource/Siegfried_Kunstreich
347,"Kunze, Erich",http://dbpedia.org/resource/Erich_Kunze
348,"Küpper, Will",http://dbpedia.org/resource/Will_K%C3%BCpper
349,"Ladengast, Walter",http://dbpedia.org/resource/Walter_Ladengast
350,"Lahs, Curt",http://dbpedia.org/resource/Curt_Lahs
351,"Lammert, Will",http://dbpedia.org/resource/Will_Lammert
352,"Lammeyer, Ferdinand",http://dbpedia.org/resource/Ferdinand_Lammeyer
353,"Landsberger, Franz",http://dbpedia.org/resource/Franz_Landsberger
354,"Lange, Otto",http://dbpedia.org/resource/Otto_Lange
355,"Lange, Werner",http://dbpedia.org/resource/Werner_Lange
356,"Larionow, Michail",http://dbpedia.org/resource/Michail_Larionow
357,"Laserstein, Lotte",http://dbpedia.org/resource/Lotte_Laserstein
358,"Lasker-Schüler, Else",http://dbpedia.org/resource/Else_Lasker-Sch%C3%BCler
359,"Lattner, Karl August",http://dbpedia.org/resource/Karl_August_Lattner
360,"Lauterbach, Carl",http://dbpedia.org/resource/Carl_Lauterbach
361,"Léger, Fernand",http://dbpedia.org/resource/Fernand_L%C3%A9ger
362,"Lehmbruck, Wilhelm",http://dbpedia.org/resource/Wilhelm_Lehmbruck
363,"Levin, Julo",http://dbpedia.org/resource/Julo_Levin
364,"Levy, Rudolf",http://dbpedia.org/resource/Rudolf_Levy
365,"Lichtenberger, Hans Reinhold",http://dbpedia.org/resource/Hans_Reinhold_Lichtenberger
366,"Liebermann, Max",http://dbpedia.org/resource/Max_Liebermann
367,"Lindemann, Josef",http://dbpedia.org/resource/Josef_Lindemann
