id,subject
153,Members_of_the_Bavarian_Maximilian_Order_for_Science_and_Art
153,German_artists
154,German_painters
154,Expressionism
154,1897_births
154,1977_deaths
155,nA
156,nA
157,nA
158,Theresienstadt_concentration_camp_inmates
158,Czech_Jews
158,Jewish_scientists
158,1876_births
158,1942_deaths
159,nA
160,nA
161,People_from_Słupsk
161,German_painters
161,Majdanek_concentration_camp_victims
161,German_Jews
161,Modern_painters
161,People_from_the_Province_of_Pomerania
161,1878_births
161,1943_deaths
161,Painters_who_died_in_Nazi_concentration_camps
161,German_civilians_killed_in_World_War_II
161,Jewish_painters
162,nA
163,nA
164,nA
165,nA
166,nA
167,nA
168,nA
169,nA
170,nA
171,Cancer_deaths_in_Germany
171,German_sculptors
171,1869_births
171,1922_deaths
171,Modern_sculptors
172,nA
173,nA
174,German_painters
174,1881_births
174,1946_deaths
174,People_from_Munich
174,Deaths_from_surgical_complications
175,nA
176,nA
177,nA
178,nA
179,nA
180,nA
181,nA
182,nA
183,nA
184,nA
185,German_medallists
185,German_sculptors
185,1887_births
185,1966_deaths
185,People_from_Munich
185,Recipients_of_the_Cross_of_the_Order_of_Merit_of_the_Federal_Republic_of_Germany
186,People_from_Mönchengladbach
186,1894_births
186,1961_deaths
186,German_artists
186,Degenerate_art
187,German_painters
187,1887_births
187,1963_deaths
187,German_artists
187,People_from_Mainz
187,Degenerate_artists
188,Artists_from_Paris
188,Impressionist_painters
188,People_from_Avignon
188,School_of_Paris
188,Cubism
188,Fauvism
188,Modern_painters
188,1881_births
188,1953_deaths
188,20th-century_painters
188,Cubist_artists
188,French_painters
188,Albert_Gleizes
189,nA
190,nA
191,nA
192,People_from_Zundert
192,Post-impressionist_painters
192,Vincent_van_Gogh
192,Dutch_painters
192,Flower_artists
192,Paintings_by_Vincent_van_Gogh
192,1853_births
192,1890_deaths
192,Dutch_expatriates_in_Belgium
192,Dutch_expatriates_in_France
192,Dutch_expatriates_in_the_United_Kingdom
192,Painters_who_committed_suicide
192,People_with_missing_ears
192,Suicides_by_firearm_in_France
192,Royal_Academy_of_Fine_Arts_(Antwerp)_alumni
193,nA
194,nA
195,nA
196,nA
197,nA
198,Bavarian_emigrants_to_the_United_States
198,German_military_personnel_of_World_War_I
198,Naturalized_citizens_of_the_United_States
198,German-language_poets
198,German_novelists
198,People_from_Starnberg_(district)
198,1894_births
198,1967_deaths
198,German_poets
198,People_from_the_Kingdom_of_Bavaria
198,Exilliteratur_writers
199,German_painters
199,1897_births
199,1929_deaths
199,People_from_Berlin
200,nA
201,nA
202,nA
203,nA
204,Modern_painters
204,1892_births
204,1971_deaths
204,French_painters
205,nA
206,nA
207,nA
208,nA
209,American_painters
209,American_people_of_German_descent
209,Art_Students_League_of_New_York_faculty
209,German_painters
209,Naturalized_citizens_of_the_United_States
209,Artists_from_Berlin
209,American_communists
209,Expressionism
209,Expressionist_painters
209,German_communists
209,German_pacifists
209,Modern_painters
209,1893_births
209,1959_deaths
209,Dada
209,Guggenheim_Fellows
209,People_who_emigrated_to_escape_Nazism
209,American_artists
209,German_emigrants_to_the_United_States
210,Sachsenhausen_concentration_camp_survivors
210,People_from_Dresden
210,Heinrich_Mann_Prize_winners
210,1901_births
210,1958_deaths
210,German_artists
210,People_from_the_Kingdom_of_Saxony
211,nA
213,Recipients_of_the_Austrian_Decoration_for_Science_and_Art
213,Austrian_painters
213,Fantastic_realism
213,1887_births
213,1973_deaths
213,Artists_from_Vienna
213,Recipients_of_the_Grand_Austrian_State_Prize
214,nA
215,nA
216,nA
217,nA
218,nA
219,nA
220,nA
221,nA
222,nA
223,nA
224,nA
225,nA
226,People_by_city_in_Baden-Württemberg
226,1882_births
226,1957_deaths
226,Art_historians
226,Knight_Commanders_of_the_Order_of_Merit_of_the_Federal_Republic_of_Germany
226,German_journalists
226,University_of_Heidelberg_alumni
226,Ambassadors_of_Germany_to_France
227,nA
228,nA
229,German_painters
229,German_printmakers
229,People_from_Döbeln
229,Commanders_Crosses_of_the_Order_of_Merit_of_the_Federal_Republic_of_Germany
229,Expressionism
229,1883_births
229,1970_deaths
229,20th-century_painters
229,People_from_the_Kingdom_of_Saxony
230,nA
231,nA
232,nA
233,nA
234,nA
235,nA
236,nA
237,nA
238,nA
239,nA
240,nA
241,nA
242,nA
243,nA
244,nA
245,nA
246,nA
247,nA
248,nA
249,nA
250,nA
251,nA
252,nA
253,nA
254,nA
255,German_painters
255,1893_births
255,1965_deaths
255,Australian_painters
256,1853_births
256,1918_deaths
256,Swiss_painters
256,Currency_designers
256,People_from_Bern
257,nA
258,German_painters
258,People_from_Olomouc
258,Moravian-German_people
258,1853_births
258,1934_deaths
