id,artist,uri,ntnl,mvmnt,born,died,subj_terms
87,"Cézanne, Paul",http://dbpedia.org/resource/Paul_C%C3%A9zanne,French,Post-Impressionism,1839-01-19,1906-10-22,"Aix-Marseille_University_alumni, French_Impressionist_painters, Post-impressionist_painters, People_from_Aix-en-Provence, 1839_births, 1906_deaths, French_Roman_Catholics, French_people_of_Italian_descent, Deaths_from_pneumonia, French_painters, Infectious_disease_deaths_in_France, Still_life_painters"
88,"Chagall, Marc",http://dbpedia.org/resource/Marc_Chagall,List of Russian artists,"Expressionism, Surrealism",1887-07-07,1985-03-28,"Belarusian_painters, Erasmus_Prize_winners, Jewish_School_of_Paris, Russian_Jews, Russian_painters, School_of_Paris, Yiddish-language_poets, Levites, Marc_Chagall, Modern_painters, Neo-primitivism, Russian_stained_glass_artists_and_manufacturers, Soviet_Jews, 1887_births, 1985_deaths, Ballet_designers, People_from_Liozna_Raion, Russian_avant-garde, Wolf_Prize_in_Arts_laureates, Belarusian_Jews, French_Jews, French_painters, French_people_of_Belarusian-Jewish_descent, French_people_of_Russian-Jewish_descent, Jewish_artists, Jewish_painters, Russian_artists, Surrealist_artists"
89,"Chirico, Giorgio de",http://dbpedia.org/resource/Giorgio_de_Chirico,Italians,"Metaphysical art, Surrealism",1888-07-10,1978-11-20,"School_of_Paris, People_of_Sicilian_descent, 1888_births, 1978_deaths, Academy_of_Fine_Arts,_Munich_alumni, Ballet_designers, Italian_expatriates_in_Greece, Italian_painters, Giorgio_de_Chirico, People_from_Volos, Surrealist_artists"
90,"Cissarz, Johann Vinzenz",http://dbpedia.org/resource/Johann_Vinzenz_Cissarz,nA,nA,nA,nA,nA
91,"Coester, Otto",http://dbpedia.org/resource/Otto_Coester,nA,nA,nA,nA,nA
93,"Cohn-Wiener, Ernst",http://dbpedia.org/resource/Ernst_Cohn-Wiener,nA,nA,nA,nA,nA
94,"Corinth, Lovis",http://dbpedia.org/resource/Lovis_Corinth,nA,nA,1858-07-21,1925-07-17,"German_painters, German_printmakers, People_from_the_Province_of_Prussia, People_from_Gvardeysk, German_Impressionist_painters, German_Expressionist_painters, 1858_births, 1925_deaths, Academy_of_Fine_Arts,_Munich_alumni"
95,"Crodel, Charles",http://dbpedia.org/resource/Charles_Crodel,Germany,nA,1894-09-16,1973-11-11,"German_stained_glass_artists_and_manufacturers, University_of_Louisville_faculty, Modern_painters, 1894_births, 1974_deaths, University_of_Jena_alumni, German_artists, Pennsylvania_State_University_faculty, People_from_Marseille"
96,"Croissant, Eugen",http://dbpedia.org/resource/Eugen_Croissant,nA,nA,nA,nA,nA
97,"Cross, Henri Edmond",http://dbpedia.org/resource/Henri_Edmond_Cross,French,"Neo-impressionism, Pointillism",1856-05-20,1910-05-16,"Cancer_deaths_in_France, Pointillism, Post-impressionist_painters, French_anarchists, 1856_births, 1910_deaths, French_painters, People_from_Douai"
98,"Cürten, Ferdinand Carl",http://dbpedia.org/resource/Ferdinand_Carl_C%C3%BCrten,nA,nA,nA,nA,nA
99,"Czóbel, Béla",http://dbpedia.org/resource/B%C3%A9la_Cz%C3%B3bel,nA,nA,nA,nA,"1883_births, 1976_deaths, Hungarian_painters"
100,"Dahlen, Nora",http://dbpedia.org/resource/Nora_Dahlen,nA,nA,nA,nA,nA
101,"Däubler, Theodor",http://dbpedia.org/resource/Theodor_D%C3%A4ubler,nA,nA,1876-08-17,1934-06-14,"People_from_Trieste, German_critics, German-language_poets, German_Expressionist_writers, 1876_births, 1934_deaths"
102,"Davringhausen, Heinrich Maria",http://dbpedia.org/resource/Heinrich_Maria_Davringhausen,nA,nA,1894-10-21,1970-12-13,"German_painters, Modern_painters, 1894_births, 1970_deaths"
103,"Delaunay, Robert",http://dbpedia.org/resource/Robert_Delaunay,French,"Cubism, Expressionism, Orphism (art)",1885-04-12,1941-10-25,"Artists_from_Paris, Impressionist_painters, School_of_Paris, Cubism, Orphism, 1885_births, 1941_deaths, 20th-century_painters, French_painters"
104,"Dell, Adolf",http://dbpedia.org/resource/Adolf_Dell,nA,nA,nA,nA,nA
105,"Derain, André",http://dbpedia.org/resource/Andr%C3%A9_Derain,nA,Fauvism,nA,nA,"André_Derain, Alumni_of_the_Académie_Julian, Fauvism, Modern_painters, 1880_births, 1954_deaths, People_from_Chatou, French_painters"
106,"Deußer, August",http://dbpedia.org/resource/August_Deu%C3%9Fer,nA,nA,nA,nA,nA
107,"Dexel, Walter",http://dbpedia.org/resource/Walter_Dexel,nA,nA,nA,nA,nA
108,"Dienz, Herm",http://dbpedia.org/resource/Herm_Dienz,nA,nA,nA,nA,nA
109,"Diesener, Hermann",http://dbpedia.org/resource/Hermann_Diesener,nA,nA,nA,nA,nA
110,"Dietrich, Erich",http://dbpedia.org/resource/Erich_Dietrich,nA,nA,nA,nA,nA
111,"Dinklage, Erna",http://dbpedia.org/resource/Erna_Dinklage,nA,nA,nA,nA,nA
112,"Ditscher, Otto",http://dbpedia.org/resource/Otto_Ditscher,nA,nA,nA,nA,nA
