id,artist
251,"Heuser, Heinrich"
252,"Heuser, Werner"
253,"Hilker, Reinhard"
254,"Hinze, U."
255,"Hirschfeld-Mack, Ludwig"
256,"Hodler, Ferdinand"
257,"Hoehloff, Curt"
258,"Hoelzel, Adolf"
259,"Hoerle, Heinrich"
260,"Hoetger, Bernhard"
261,"Hofer, Karl"
262,"Hoff, Heinz von den"
263,"Hoffmann, Eugen"
264,"Hofmann, Ludwig von"
265,"Hofmann, Otto"
266,"Hofmann, Vlastislav"
267,"Hohlt, Otto"
268,"Holz, Paul"
269,"Holzmann, Helene"
270,"Hompel, Ludwig ten"
271,"Horn, Joseph"
272,"Höst, Oluf"
273,"Huber, Hermann"
274,"Huf, Fritz"
275,"Hügin, Karl Otto"
276,"Hülsmann, Fritz"
277,"Hundt, Jean Baptist Hermann"
278,"Huth, Willy Robert"
279,"Hüther, Julius"
280,"Isselmann, Ernst"
281,"Itten, Johannes"
282,"Jacob, Walter"
283,"Jacobi, Rudolf"
284,"Jaeckel, Willy"
285,"Jansen, Franz Maria"
286,"Janthur, Richard"
287,"Jawlensky, Alexej von"
288,"Jerusalem, F"
289,"Johannsen, Peter-Wilhelm"
290,"Johanson, Eric"
291,"Johnsen, Steen Soerensen"
292,"Kahler, Eugen von"
293,"Kallmann, Hans Jürgen"
294,"Kandinsky, Wassily"
295,"Kanoldt, Alexander"
296,"Kars, Georges"
297,"Karsch, Joachim"
298,"Katz, Hanns"
299,"Kaufmann, Ignaz (Arthur?)"
300,"Kaul, August"
301,"Kaus, Max"
302,"Keller, Gerhard"
303,"Keller, Laurent Friedrich"
304,"Kerkovius, Ida"
305,"Kerschbaumer, Anton"
306,"Kerschkamp, Eugen"
307,"Kessler, Adolf"
308,"Kirchner, Ernst Ludwig"
309,"Kirchner, Heinrich"
310,"Kiwitz, Willy"
311,"Klee, Paul"
312,"Klein, Cesar"
313,"Kleinert, Gertrud"
314,"Kleinschmidt, Paul"
315,"Klemm, Walther"
316,"Klimt, Gustav"
317,"Klinger, Julius"
318,"Klose-Greger, Hanna"
319,"Klossowski, Erich"
320,"Kluth, Karl"
321,"Knappe, Karl"
322,"Koepke, Robert"
323,"Kogan, Moissey"
324,"Kohlhoff, Wilhelm"
325,"Kohlschein, Hans"
326,"Kokoschka, Oskar"
327,"Kolbe, Georg"
328,"Kolle, Helmut"
329,"Kollwitz, Käthe"
330,"König, Leo von"
331,"Kost, Julius"
332,Köster = Otto Coester?
333,"Kowalski, Ludwig Peter"
334,"Krauskopf, Bruno"
335,"Kreidt, Hermann"
336,"Kretzschmar, Bernhard"
337,"Kronenberg, Fritz"
338,"Krüger, Paul"
339,"Kruse, Hedwig"
340,"Kubin, Alfred"
341,"Kuhmichel, Hermann"
342,"Kuhn, Alfred"
343,"Kuhn, Erich"
344,"Kuisl, Josef"
345,Kunowski
346,"Kunstreich, Siegfried"
347,"Kunze, Erich"
348,"Küpper, Will"
349,"Ladengast, Walter"
350,"Lahs, Curt"
351,"Lammert, Will"
352,"Lammeyer, Ferdinand"
353,"Landsberger, Franz"
354,"Lange, Otto"
355,"Lange, Werner"
356,"Larionow, Michail"
357,"Laserstein, Lotte"
358,"Lasker-Schüler, Else"
359,"Lattner, Karl August"
360,"Lauterbach, Carl"
361,"Léger, Fernand"
362,"Lehmbruck, Wilhelm"
363,"Levin, Julo"
364,"Levy, Rudolf"
365,"Lichtenberger, Hans Reinhold"
366,"Liebermann, Max"
367,"Lindemann, Josef"
368,"Lismann, Hermann"
369,"Lissitzky, El"
370,"Lohse-Wächtler, Elfriede"
371,"Lomnitz, Alfred"
372,"Ludwigs, Peter"
373,"Lüthy, Oscar"
374,"Macke, August"
375,"Macke, Helmuth"
376,"Maetzel, Emil"
377,"Malachowski-Nauen, Marie von"
378,"Maly, Wilhelm"
379,"Malzburg, Ewald"
380,"Marc, Franz"
381,"Marcks, Gerhard"
382,"Marées, Horst de"
383,"Martini, Max"
384,"Masereel, Frans"
385,"Mataré, Ewald"
386,"Mathéy, Georg Alexander"
387,"Matisse, Henri"
388,"Maxon, Wilhelm"
389,"May, Heinz"
390,"Meid, Hans"
391,"Meidner, Ludwig"
392,"Meier-Thur, Hugo"
393,"Meister, Otto"
394,"Mense, Carlo"
395,"Mettel, Hans"
396,"Metzinger, Jean"
397,"Metzner, Franz"
398,"Meyer, Arthur"
399,"Meyer, Gerd"
400,"Meyer, Hugo"
401,"Meyer, Renier"
402,"Michel, Robert"
403,"Minder, Phia"
404,"Minkenberg, Hein"
405,"Misztrick de Monda, Ernest"
406,"Mitschke-Collande, Constantin von"
407,"Modersohn-Becker, Paula"
408,"Modigliani, Amedeo"
409,"Moholy-Nagy, László"
410,"Moll, Margarete"
411,"Moll, Oskar"
412,"Möller, Rudolf"
413,"Molzahn, Johannes"
414,"Mondrian, Piet"
415,"Montanari, Giuseppe"
416,Monticelli
417,"Moor, Henrik"
418,"Moore, Henry"
419,"Morgner, Wilhelm"
420,"Muche, Georg"
421,"Mueller, Otto"
422,"Mühsam, F"
423,"Müller-Graefe, Ernst"
424,"Müller, Albert"
425,"Munch, Edvard"
426,"Naager, Franz"
427,"Nagel, Erich"
428,"Nagel, Wilhelm"
429,"Nauen, Heinrich"
430,"Nay, Ernst Wilhelm"
431,"Nerlich, Georg"
432,"Nesch, Rolf"
433,"Niestrath, Karel"
434,"Noack, Carl"
435,"Nolde, Carl"
436,"Nolde, Emil"
437,"Nölken, Franz"
438,"Oberländer, Adolf"
439,"Oberländer, Hans Emil"
440,"Oeltjen-Kasimir, Elsa"
441,"Oeltjen, Jan"
442,Olms
